145^1^428 11th Street^San Francisco^CA^94103^^^^1^0^0^0^1^0^1^0^^^^0^11:00 AM^3:00 PM^
146^1^2 Marina Boulevard^San Francisco^CA^94123^^^^1^0^0^0^0^1^0^0^^^^0^5:00 PM^10:00 PM^
146^1^665 5th Street^San Francisco^CA^94107^^^^1^1^0^0^0^0^0^0^^^^0^11:00 AM^2:00 PM^
147^1^1550 Howard Street^San Francisco^CA^94103^^^^1^1^1^1^1^1^0^0^^^^0^10:30 AM^9:00 PM^
147^1^1550 Howard Street^San Francisco^CA^94103^^^^1^0^0^0^0^0^1^1^^^^0^12:00 PM^9:00 PM^
148^1^Mission St & Spear St^San Francisco^CA^94105^^^^1^0^1^0^1^0^0^0^^^^0^11:00 AM^2:00 PM^
148^1^California St & Sansome St^San Francisco^CA^94104^^^^1^0^0^1^0^0^0^0^^^^0^11:00 AM^2:00 PM^
148^1^Mission St & Annie St^San Francisco^CA^94105^^^^1^0^0^0^0^1^0^0^^^^0^11:00 AM^2:00 PM^
148^1^Hayes St & Octavia St^San Francisco^CA^94102^^^^1^0^0^0^0^0^1^1^^^^0^12:00 PM^6:00 PM^
149^1^233 Sansome Street^San Francisco^CA^94104^^^^1^0^0^0^1^0^0^0^^^^0^11:30 AM^1:30 PM^
150^1^2 Marina Boulevard^San Francisco^CA^94123^^^^1^0^0^0^0^1^0^0^^^^0^5:00 PM^9:00 PM^
150^1^225 Bush Street^San Francisco^CA^94104^^^^1^1^1^1^1^1^0^0^^^^0^11:00 AM^2:00 PM^
153^1^428 11th Street^San Francisco^CA^94103^^^^1^0^0^1^0^0^0^0^^^^0^11:00 AM^3:00 PM^
154^1^Stanyan St & Waller St^San Francisco^CA^94117^^^^1^0^0^0^1^0^0^0^^^^0^5:00 PM^9:00 PM^
154^1^McAllister St & Dr Carlton B Goodlett Pl^San Francisco^CA^94102^^^^1^0^0^0^0^1^0^0^^^^0^11:00 AM^2:00 PM^
155^1^428 11th Street^San Francisco^CA^94103^^^^1^0^0^0^0^1^0^0^^^^0^11:00 AM^3:00 PM^
156^1^3460 Buckingham Way^San Francisco^CA^94132^^^^1^0^0^0^0^0^0^1^^^^0^9:00 AM^1:00 PM^
