55^1^1^1^1^1^1^1^1^^^^3:30 PM^7:30 PM^
56^1^1^1^1^1^1^0^0^^^^11:00 PM^1:30 AM^"""Spirit Hour"" $2 off all Spirits"
56^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^$1 off all beer, wine and alcohol
57^1^1^1^1^1^1^0^0^^^^5:00 PM^8:00 PM^DJ's, $4 Beers, $4 Wells, and $1 Off Everything Else
59^1^1^1^1^1^1^0^0^^^^4:00 PM^6:00 PM^$1 Oysters
59^1^0^0^0^0^0^1^0^^^^5:00 PM^7:00 PM^$1 Oysters
60^1^1^1^1^1^1^0^0^^^^5:00 PM^8:00 PM^$1 off selected beers, $2 off wine, $5 cava, $8 well old fasioneds, $8 cocktail of the week
61^1^1^1^1^1^0^0^0^^^^4:00 PM^6:00 PM^
61^1^0^0^0^0^1^0^0^^^^2:00 PM^6:00 PM^
62^1^0^0^1^1^1^1^1^^^^4:00 PM^7:00 PM^
62^1^1^0^0^0^0^0^0^^^^4:00 PM^12:00 AM^
63^1^1^1^1^1^1^1^0^^^^3:00 PM^7:00 PM^$4 Select Draft Beer, $5 Select Glass of Wine, $5 Well Drink, $6 Select Bar Food
64^1^1^1^1^1^1^1^1^^^^5:00 PM^7:00 PM^
65^1^1^1^1^1^1^1^0^^^^5:00 PM^7:00 PM^
66^1^1^1^1^1^1^1^0^^^^4:00 PM^7:00 PM^
67^1^1^1^1^1^1^0^0^^^^4:00 PM^9:00 PM^$4 Drafts and $5 Martinis
68^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^
69^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^$1 off well cocktails and all beers, $5 house wines
69^1^0^0^0^0^0^1^0^^^^12:00 PM^6:00 PM^$1 off well cocktails and all beers, $5 house wines
69^1^1^0^0^0^0^0^0^^^^3:00 PM^10:00 PM^$3 bottle beer night plus 1/2 price Buffalo Wings
69^1^0^0^1^0^0^0^0^^^^5:00 PM^9:00 PM^$5 Cheese Pizzas
70^1^1^1^1^1^1^1^0^^^^4:00 PM^7:00 PM^
70^1^0^0^0^0^0^0^1^^^^11:00 AM^12:00 AM^
71^1^0^0^0^1^0^0^0^^^^6:00 PM^2:00 AM^$3 Pints of PBR all night!
72^1^1^1^1^1^1^0^0^^^^5:00 PM^8:00 PM^$3 Draft Beers, $3 Well Drinks
73^1^1^1^1^1^1^0^0^^^^5:00 PM^7:00 PM^20 % Off All Drinks and Appetizers
74^1^1^1^1^1^1^0^0^^^^5:30 PM^7:00 PM^
74^1^0^0^0^0^0^1^0^^^^6:00 PM^7:00 PM^
75^1^0^1^1^1^1^0^0^^^^4:00 PM^8:00 PM^
76^1^1^1^1^1^1^0^0^^^^3:00 PM^6:00 PM^
77^1^1^1^1^1^1^1^1^^^^4:00 PM^8:00 PM^Every Night buy a drink and get a FREE drink chip that you can use until 9:00 pm
78^1^1^1^1^1^1^1^1^^^^3:00 PM^10:00 PM^An eclectic selection of draft beers and well drinks for $3
78^1^0^0^0^0^0^1^1^^^^3:00 PM^9:00 PM^Bottomless Sangria for $17
79^1^1^1^1^1^1^1^1^^^^4:00 PM^7:00 PM^Enjoy half off your favorite cocktails and Spuntini menu bites
80^1^1^1^1^1^1^0^0^^^^5:00 PM^7:00 PM^Daily Drink & Food Specials.  Be There
81^1^1^1^1^1^1^0^0^^^^5:00 PM^7:30 PM^
82^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^
86^1^1^1^1^1^1^0^0^^^^5:00 PM^8:00 PM^
89^1^0^0^0^1^1^1^1^^^^12:00 AM^5:00 PM^$8.95 Lunch Special
